,formatted_block,geo_code,district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
60,朝阳区双合家园,"116.528137,39.856879",朝阳区,www.ziroom.com/x/807590793.html,双合家园,3,北,10.2,1/22,双合站,713,2190,False
61,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/717588428.html,北京像素北区,3,东,11.2,13/17,草房站,349,2190,False
62,朝阳区南太平庄北巷,"116.536416,39.919132",朝阳区,www.ziroom.com/x/785144854.html,南太平庄北巷,3,北,11.5,4/6,高碑店站,1058,2190,False
63,朝阳区远洋一方润园6号院,"116.591839,39.904366",朝阳区,www.ziroom.com/x/807872004.html,远洋一方润园6号院,3,南,9.0,8/18,管庄站,1197,2190,False
64,朝阳区尚东阁,"116.585155,39.914223",朝阳区,www.ziroom.com/x/725115143.html,尚东阁,3,东,10.73,2/19,双桥站,954,2190,False
65,朝阳区燕保祈东家园,"116.534097,39.853389",朝阳区,www.ziroom.com/x/807897589.html,燕保祈东家园,3,南,7.2,15/28,焦化厂站,1063,2160,False
66,朝阳区万象新天四区,"116.592250,39.926694",朝阳区,www.ziroom.com/x/712578184.html,万象新天四区,5,北,10.2,1/5,常营站,696,2190,False
67,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/712031395.html,北京像素北区,3,东南,9.4,8/13,草房站,349,2190,False
68,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/746164240.html,北京像素北区,4,南,9.2,12/13,草房站,349,2190,False
69,朝阳区远洋一方北润园,"116.596245,39.902979",朝阳区,www.ziroom.com/x/807815052.html,远洋一方北润园,3,南,10.2,12/17,管庄站,1197,2230,False
70,朝阳区双桥六号井,"116.605008,39.889662",朝阳区,www.ziroom.com/x/773544818.html,双桥六号井,3,南,18.2,2/6,管庄站,2708,2230,True
71,朝阳区翠成馨园C区,"116.499522,39.865741",朝阳区,www.ziroom.com/x/742785342.html,翠成馨园C区,4,北,11.7,5/16,垡头站,648,2260,False
72,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/757432245.html,北京像素南区,3,东北,9.1,10/16,草房站,324,2190,False
73,朝阳区北京新天地三期,"116.606293,39.913857",朝阳区,www.ziroom.com/x/713898063.html,北京新天地三期,3,南,11.03,13/28,管庄站,1158,2190,False
